name,tag,expected,outcome,wall_ms,verdict,detail
AssertionError1,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
AssertionError1_fail,THOROUGH,^VERIFICATION FAILED$,PASS,54,FAILED,^VERIFICATION FAILED$
AssertionError2,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,95,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
AssertionError2_fail,CORE,^VERIFICATION FAILED$,PASS,101,FAILED,^VERIFICATION FAILED$
abs,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
abs-fail,CORE,,UNKNOWN,52,FAILED,no expected regex
all,CORE,,UNKNOWN,69,SUCCESSFUL,no expected regex
all2,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
all3,CORE,^VERIFICATION SUCCESSFUL$,DIFF,55,FAILED,expected=^VERIFICATION SUCCESSFUL$
all4,CORE,^VERIFICATION SUCCESSFUL$,DIFF,60,FAILED,expected=^VERIFICATION SUCCESSFUL$
all5,CORE,^VERIFICATION SUCCESSFUL$,DIFF,79,FAILED,expected=^VERIFICATION SUCCESSFUL$
all6,CORE,^VERIFICATION SUCCESSFUL$,DIFF,140,FAILED,expected=^VERIFICATION SUCCESSFUL$
all6_fail,CORE,^VERIFICATION FAILED$,PASS,146,FAILED,^VERIFICATION FAILED$
annotate-else,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,62,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
annotate-function,CORE,,UNKNOWN,63,SUCCESSFUL,no expected regex
annotate-method,CORE,^VERIFICATION SUCCESSFUL$,PASS,63,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
any,CORE,^VERIFICATION SUCCESSFUL$,DIFF,3211,FAILED,expected=^VERIFICATION SUCCESSFUL$
any-example,CORE,^VERIFICATION SUCCESSFUL$,PASS,71,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
any-example_fail,CORE,^VERIFICATION FAILED$,PASS,75,FAILED,^VERIFICATION FAILED$
any2,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
arith-ops,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,57,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
arith-ops-fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
assert,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert-always-true,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert-arith,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert-branch_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
assert-class,CORE,^VERIFICATION SUCCESSFUL$,PASS,61,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert-fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
assert-list_fail,CORE,^VERIFICATION FAILED$,PASS,61,FAILED,^VERIFICATION FAILED$
assert-logical_fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
assert-loop,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert-message_fail,CORE,^  x is equal to y$,FAIL,51,FAILED,expected=^  x is equal to y$
assert-nested_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
assert-recursive_fail,CORE,^VERIFICATION FAILED$,PASS,55,FAILED,^VERIFICATION FAILED$
assert2,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert3,CORE,^VERIFICATION SUCCESSFUL$,PASS,57,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert4-fail,CORE,^VERIFICATION FAILED$,PASS,58,FAILED,^VERIFICATION FAILED$
