# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 36K of event 'cycles:u'
# Event count (approx.): 112022911909
#
# Children      Self  Command  Shared Object                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ........  .......  .....................................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    72.31%     0.00%  cbmc     cbmc                                   [.] cbmc_parse_optionst::doit()
    71.00%     0.00%  cbmc     cbmc                                   [.] goto_symext::execute_next_instruction(std::function<goto_functiont const& (dstringt const&)> const&, goto_symex_statet&)
    70.18%     0.00%  cbmc     cbmc                                   [.] goto_symext::symex_step(std::function<goto_functiont const& (dstringt const&)> const&, goto_symex_statet&)
    70.15%     0.00%  cbmc     cbmc                                   [.] symex_bmct::symex_step(std::function<goto_functiont const& (dstringt const&)> const&, goto_symex_statet&)
    69.40%     0.00%  cbmc     cbmc                                   [.] goto_symext::symex_threaded_step(goto_symex_statet&, std::function<goto_functiont const& (dstringt const&)> const&)
    68.87%     0.00%  cbmc     cbmc                                   [.] goto_symext::symex_with_state(goto_symex_statet&, std::function<goto_functiont const& (dstringt const&)> const&)
    67.51%     0.00%  cbmc     cbmc                                   [.] multi_path_symex_only_checkert::generate_equation()
    67.03%     0.00%  cbmc     cbmc                                   [.] goto_symext::symex_from_entry_point_of(std::function<goto_functiont const& (dstringt const&)> const&, shadow_memory_field_definitionst const&)
    64.94%     0.00%  cbmc     cbmc                                   [.] multi_path_symex_checkert::operator()(std::map<dstringt, property_infot, std::less<dstringt>, std::allocator<std::pair<dstringt const, property_infot> > >&)
    63.08%     0.00%  cbmc     cbmc                                   [.] all_properties_verifier_with_trace_storaget<multi_path_symex_checkert>::operator()()
    49.21%     0.00%  cbmc     cbmc                                   [.] goto_symext::symex_assign(goto_symex_statet&, exprt const&, exprt const&)
    34.87%     0.00%  cbmc     cbmc                                   [.] symex_assignt::assign_rec(exprt const&, expr_skeletont const&, exprt const&, std::vector<exprt, std::allocator<exprt> >&)
    34.81%     0.00%  cbmc     cbmc                                   [.] symex_assignt::assign_non_struct_symbol(ssa_exprt const&, expr_skeletont const&, exprt const&, std::vector<exprt, std::allocator<exprt> > const&)
    27.28%     0.00%  cbmc     cbmc                                   [.] field_sensitivityt::field_assignments(namespacet const&, goto_symex_statet&, ssa_exprt const&, exprt const&, symex_targett&, bool) const
    24.55%     0.08%  cbmc     cbmc                                   [.] field_sensitivityt::field_assignments_rec(namespacet const&, goto_symex_statet&, exprt const&, exprt const&, symex_targett&, bool) const
    22.00%     0.00%  cbmc     cbmc                                   [.] goto_symext::merge_gotos(goto_symex_statet&)
    21.35%     0.03%  cbmc     cbmc                                   [.] symex_target_equationt::merge_ireps(SSA_stept&)
    21.32%     0.04%  cbmc     cbmc                                   [.] merge_irept::operator()(irept&)
    21.18%     0.04%  cbmc     cbmc                                   [.] symex_target_equationt::assignment(exprt const&, ssa_exprt const&, exprt const&, exprt const&, exprt const&, symex_targett::sourcet const&, symex_targett::assignment_typet)
    21.15%     0.00%  cbmc     cbmc                                   [.] symex_bmct::merge_goto(symex_targett::sourcet const&, goto_statet&&, goto_symex_statet&)
    21.15%     0.00%  cbmc     cbmc                                   [.] goto_symext::merge_goto(symex_targett::sourcet const&, goto_statet&&, goto_symex_statet&)
    20.72%     5.44%  cbmc     cbmc                                   [.] merge_irept::merged(irept const&)
    20.47%     0.10%  cbmc     cbmc                                   [.] goto_symext::phi_function(goto_statet const&, goto_symex_statet&)
    18.91%     0.05%  cbmc     cbmc                                   [.] merge_names(goto_statet const&, goto_symex_statet&, namespacet const&, guard_exprt const&, messaget&, bool, symex_target_equationt&, incremental_dirtyt const&, ssa_exprt const&, unsigned long, unsigned long)
    18.40%     0.00%  cbmc     cbmc                                   [.] parse_options_baset::main()
    18.29%     0.07%  cbmc     cbmc                                   [.] goto_symex_statet::assignment(ssa_exprt, exprt const&, namespacet const&, bool, bool, bool)
    17.98%     0.00%  cbmc     cbmc                                   [.] main
    17.92%     0.00%  cbmc     cbmc                                   [.] goto_symext::dereference(exprt&, goto_symex_statet&, bool)
    17.58%     0.11%  cbmc     cbmc                                   [.] update_identifier(ssa_exprt&)
    17.40%     0.00%  cbmc     cbmc                                   [.] goto_symext::clean_expr(exprt, goto_symex_statet&, bool)
    16.41%     0.16%  cbmc     cbmc                                   [.] field_sensitivityt::get_fields(namespacet const&, goto_symex_statet&, ssa_exprt const&, bool) const
    16.34%     0.27%  cbmc     cbmc                                   [.] build_identifier(exprt const&, dstringt const&, dstringt const&, dstringt const&)
    14.86%     0.11%  cbmc     cbmc                                   [.] field_sensitivityt::apply(namespacet const&, goto_symex_statet&, exprt, bool) const
    14.67%     0.00%  cbmc     libc.so.6                              [.] __libc_start_main
    14.63%     0.00%  cbmc     cbmc                                   [.] _start
    13.46%     2.55%  cbmc     libc.so.6                              [.] cfree
    13.32%     0.00%  cbmc     libc.so.6                              [.] 0x0000719301e2a1c9
    12.44%     0.01%  cbmc     cbmc                                   [.] goto_symext::dereference_rec(exprt&, goto_symex_statet&, bool, bool)
    11.50%     0.00%  cbmc     cbmc                                   [.] all_properties_verifier_with_trace_storaget<multi_path_symex_checkert>::~all_properties_verifier_with_trace_storaget()
    11.50%     0.00%  cbmc     cbmc                                   [.] multi_path_symex_checkert::~multi_path_symex_checkert() (inlined)
    11.50%     0.00%  cbmc     cbmc                                   [.] multi_path_symex_only_checkert::~multi_path_symex_only_checkert()
    11.21%     0.14%  cbmc     cbmc                                   [.] string_containert::get(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
    11.13%    11.13%  cbmc     cbmc                                   [.] irept::operator==(irept const&) const
    10.65%     6.78%  cbmc     cbmc                                   [.] sharing_treet<irept, forward_list_as_mapt<dstringt, irept> >::remove_ref(tree_nodet<irept, forward_list_as_mapt<dstringt, irept>, true>*)
    10.18%     0.00%  cbmc     cbmc                                   [.] symex_assignt::assign_from_struct(ssa_exprt const&, expr_skeletont const&, struct_exprt const&, std::vector<exprt, std::allocator<exprt> > const&)
    10.09%     1.18%  cbmc     libstdc++.so.6.0.33                    [.] operator new(unsigned long)
     8.96%     3.92%  cbmc     libc.so.6                              [.] malloc
     8.90%     0.57%  cbmc     cbmc                                   [.] std::_Hashtable<string_ptrt, std::pair<string_ptrt const, unsigned int>, std::allocator<std::pair<string_ptrt const, unsigned int> >, std::__detail::_Select1st, std::equal_to<string_ptrt>, string_ptr_hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find(string_ptrt const&)
     8.24%     0.07%  cbmc     cbmc                                   [.] value_sett::assign(exprt const&, exprt const&, namespacet const&, bool, bool)
     7.40%     0.00%  cbmc     cbmc                                   [.] tree_nodet<irept, forward_list_as_mapt<dstringt, irept>, true>::~tree_nodet() (inlined)
     6.93%     0.00%  cbmc     libc.so.6                              [.] 0x0000719301eaada4
     6.70%     0.00%  cbmc     cbmc                                   [.] symbol_tablet::~symbol_tablet()
     6.69%     0.00%  cbmc     cbmc                                   [.] std::_Hashtable<dstringt, std::pair<dstringt const, symbolt>, std::allocator<std::pair<dstringt const, symbolt> >, std::__detail::_Select1st, std::equal_to<dstringt>, std::hash<dstringt>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_deallocate_buckets() (inlined)
     6.69%     0.00%  cbmc     cbmc                                   [.] std::_Hashtable<dstringt, std::pair<dstringt const, symbolt>, std::allocator<std::pair<dstringt const, symbolt> >, std::__detail::_Select1st, std::equal_to<dstringt>, std::hash<dstringt>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_deallocate_buckets(std::__detail::_Hash_node_base**, unsigned long) (inlined)
