# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 67K of event 'cycles:u'
# Event count (approx.): 200142690850
#
# Children      Self  Command  Shared Object                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ........  .......  .....................................  ..................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    89.22%     0.00%  cvc5     cvc5                                   [.] 0x0000000000740ef2
    89.16%     0.00%  cvc5     cvc5                                   [.] 0x0000000000733bf9
    89.06%     0.00%  cvc5     cvc5                                   [.] 0x0000000000733e21
    89.04%     0.00%  cvc5     cvc5                                   [.] 0x0000000000656621
    89.01%     0.00%  cvc5     cvc5                                   [.] 0x000000000060c878
    88.96%     0.00%  cvc5     cvc5                                   [.] 0x00000000017d64f7
    88.63%     0.00%  cvc5     cvc5                                   [.] 0x000000000060cba4
    88.04%     0.00%  cvc5     cvc5                                   [.] 0x000000000061af5d
    87.75%     0.00%  cvc5     cvc5                                   [.] 0x00000000006132fe
    87.54%     0.00%  cvc5     cvc5                                   [.] 0x000000000060b27b
    87.52%     0.00%  cvc5     cvc5                                   [.] 0x0000000001442ad7
    87.52%     0.00%  cvc5     cvc5                                   [.] 0x0000000001704587
    87.52%     0.00%  cvc5     cvc5                                   [.] 0x000000000142e05b
    87.52%     0.00%  cvc5     cvc5                                   [.] 0x0000000000de8862
    87.38%     0.00%  cvc5     cvc5                                   [.] 0x0000000000744258
    87.37%     0.00%  cvc5     cvc5                                   [.] 0x0000000000740484
    86.13%     0.00%  cvc5     cvc5                                   [.] 0x0000000000df9d74
    85.37%     0.00%  cvc5     cvc5                                   [.] 0x000000000170432e
    85.36%     0.00%  cvc5     cvc5                                   [.] 0x000000000170341d
    85.05%     0.00%  cvc5     cvc5                                   [.] 0x00000000017def04
    84.64%     0.00%  cvc5     cvc5                                   [.] 0x00000000005c62b7
    83.93%     0.00%  cvc5     cvc5                                   [.] 0x0000000001a2c3bf
